,ad title,link,year of construction,fuel,transmission,vehicle type,mileage (km)
77,"Opel Astra 1.2 Ultimate Pano, Camera, Navi, Volle Auto Incl.",marktplaats.nl/v/auto-s/opel/m2063857122-opel-astra-1-2-ultimate-pano-camera-navi-volle-auto-incl,2023.0,Benzine ,Automaat ,Hatchback ,3186.0
78,"Opel Astra 1.2 Edition Camera, Clima, CarPlay Incl. BTW",marktplaats.nl/v/auto-s/opel/m2059509755-opel-astra-1-2-edition-camera-clima-carplay-incl-btw,2023.0,Benzine ,Handgeschakeld ,Hatchback ,3001.0
79,"Opel Mokka 1.2 GS Line Camera, Navi, Clima, Winterpakket Inc",marktplaats.nl/v/auto-s/opel/m2059054554-opel-mokka-1-2-gs-line-camera-navi-clima-winterpakket-inc,2022.0,Benzine ,Handgeschakeld ,SUV of Terreinwagen ,19756.0
80,"Opel Astra 1.2 Business Edition 146 PK Clima, CarPlay, Winte",marktplaats.nl/v/auto-s/opel/m2064859215-opel-astra-1-2-business-edition-146-pk-clima-carplay-winte,2021.0,Benzine ,Handgeschakeld ,Hatchback ,19278.0
81,Opel Corsa 1.2 AIRCO PDC CAMERA CRUISE NAVI APPLE CARPLAY ST,marktplaats.nl/v/auto-s/opel/m2061498816-opel-corsa-1-2-airco-pdc-camera-cruise-navi-apple-carplay-st,2021.0,Benzine ,Handgeschakeld ,Hatchback ,14996.0
82,"Opel Astra Sports Tourer 1.0 Turbo Business Executive (NAVI,",marktplaats.nl/v/auto-s/opel/m2058931793-opel-astra-sports-tourer-1-0-turbo-business-executive-navi,2018.0,Benzine ,Handgeschakeld ,Stationwagon ,129859.0
83,Opel Movano Verkoopwagen L5 H1 2014 Diesel Handgeschakeld,marktplaats.nl/v/auto-s/opel/a1493371679-opel-movano-verkoopwagen-l5-h1-2014-diesel-handgeschakeld,2014.0,Diesel ,Handgeschakeld ,,102204.0
84,Opel Astra 1.6 Edition AUTOMAAT PDC AIRCO CRUISE,marktplaats.nl/v/auto-s/opel/m2061727939-opel-astra-1-6-edition-automaat-pdc-airco-cruise,2010.0,Benzine ,Automaat ,Hatchback ,218771.0
85,Opel Corsa 1.2 GS Line LED PDC V+A CRUISE NAVI VIA CARPLAY,marktplaats.nl/v/auto-s/opel/m2062723697-opel-corsa-1-2-gs-line-led-pdc-v-a-cruise-navi-via-carplay,2022.0,Benzine ,Handgeschakeld ,Hatchback ,34306.0
86,Opel Meriva 1.4 Turbo AIRCO NAVI PDC LIMIT,marktplaats.nl/v/auto-s/opel/m2060752128-opel-meriva-1-4-turbo-airco-navi-pdc-limit,2014.0,Benzine ,Handgeschakeld ,MPV ,164788.0
87,Opel Karl 1.0 Ecoflex S/S  120 Jaar Edition 2019 Grijs,marktplaats.nl/v/auto-s/opel/m2061971071-opel-karl-1-0-ecoflex-s-s-120-jaar-edition-2019-grijs,2019.0,Benzine ,Handgeschakeld ,Hatchback ,13400.0
88,Opel Insignia 1.5 Turbo Business Executive Aut. [ Navi Sport,marktplaats.nl/v/auto-s/opel/m2059275922-opel-insignia-1-5-turbo-business-executive-aut-navi-sport,2019.0,Benzine ,Automaat ,Stationwagon ,115332.0
89,Opel Zafira 2.2 2007 Groen,marktplaats.nl/v/auto-s/opel/m2060819402-opel-zafira-2-2-2007-groen,2007.0,Benzine ,Handgeschakeld ,MPV ,137854.0
90,Opel Corsa 1.0-12V 111 Edition Airco/5drs/Nap/Cruise,marktplaats.nl/v/auto-s/opel/m2058656983-opel-corsa-1-0-12v-111-edition-airco-5drs-nap-cruise,2010.0,Benzine ,Handgeschakeld ,Hatchback ,86869.0
91,Opel Vivaro Bestelbus L2 H1 2018 Diesel Handgeschakeld,marktplaats.nl/v/auto-s/opel/a1495080633-opel-vivaro-bestelbus-l2-h1-2018-diesel-handgeschakeld,2018.0,Diesel ,Handgeschakeld ,,87181.0
92,Opel Corsa 1.2-16V Enjoy 5drs Nap Airco,marktplaats.nl/v/auto-s/opel/m2058388589-opel-corsa-1-2-16v-enjoy-5drs-nap-airco,2007.0,Benzine ,Handgeschakeld ,Hatchback ,133821.0
